model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcTargetInventorySpecifications,20633,41664
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcSuggestInventoryLevelEnd,2754,5952
supplychain-planner,性能测试1/3,PeriodTask,calcPISPIPsForDependentDemand,20445,11860
supplychain-planner,性能测试1/3,SupplyChainUnit,calcCurrency,512,195
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcInventoryCost,27580,41664
supplychain-planner,性能测试1/3,PeriodTask,calcCost,2205,7912
supplychain-planner,性能测试1/3,PeriodTask,calcProduct,8664,7912
supplychain-planner,性能测试1/3,Period,calcEndDate,11,7
supplychain-planner,性能测试1/3,ProductRoutingStep,calcNext,1525,1979
supplychain-planner,性能测试1/3,SupplyChainUnit,calcProductCapacityInUnits,159,195
supplychain-planner,性能测试1/3,Product,calcFrozenQuantity,1779,2976
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaintenanceFactor,3119,1428
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaximumLoadPercentage,1130,1330
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemandsForN1,971,1989
supplychain-planner,性能测试1/3,ProductRouting,calcPlanOrderQuantityForN,701,2966
supplychain-planner,性能测试1/3,Product,calcDetectInventoryQuantity,648,1989
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemandsForN2,1075,1989
supplychain-planner,性能测试1/3,Product,calcTotalLeadTime,662,1989
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemandsForN3,1374,1989
supplychain-planner,性能测试1/3,ProductRouting,calcCostPerQuantity,17367,1979
supplychain-planner,性能测试1/3,ProductRoutingStep,calcOutputQuantity,4285,2966
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcCurrencyInPeriod,4,35
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcEndOfFrozenPeriod,528,1
supplychain-planner,性能测试1/3,Period,calcCanBeReleased,10,7
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcDetectedInventorySuppliesFulfilledDemands,18479,41664
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUtilization,2923,1428
supplychain-planner,性能测试1/3,ProductRoutingStep,calcQuantityToProcessFactor,2374,2966
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcFulfilledDependentDemandQuantity,5700,23808
supplychain-planner,性能测试1/3,NewSupply,calcMaterialFlag,6441,8894
supplychain-planner,性能测试1/3,PlanOrderStep,calcNewSupplies,20812,13853
supplychain-planner,性能测试1/3,DependentDemand,calcInventoryFlag,3149,3948
supplychain-planner,性能测试1/3,PlanOrder,calcPlanOrderId,29770,13853
supplychain-planner,性能测试1/3,SupplyChainUnit,calcQuantityToProcess,287,195
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcMonthlyInventoryStartN,6370,11904
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcHasChildren,2953,5952
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcReplaceNewSupplies,25151,49576
supplychain-planner,性能测试1/3,DependentDemand,calcUnitPeriod,5809,3948
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcSalesDemandOnOwner,21648,41664
supplychain-planner,性能测试1/3,ProductRouting,calcProductRoutingInMonths,15086,3958
supplychain-planner,性能测试1/3,Period,calcUnitPeriods,765987,945
supplychain-planner,性能测试1/3,ProductRoutingStep,calcOutputProducts,5359,3953
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcLastPISPIPForPp,8460,27776
supplychain-planner,性能测试1/3,StockingPoint,calcCurrency,17,8
supplychain-planner,性能测试1/3,DependentDemand,calcDependentDemandSet,4648,7896
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemandN1,989,1989
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaxCapacity,87,1330
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemandN3,1068,1989
supplychain-planner,性能测试1/3,PeriodDefinition,calcLastPeriod,8,2
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemandN2,1013,1989
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcProduct,12212,5952
supplychain-planner,性能测试1/3,DependentDemand,calcDependentDemandsOnOwner,7650,7896
supplychain-planner,性能测试1/3,ProductRouting,calcRoutingPreference,1321,1979
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitPeriods,4496,390
supplychain-planner,性能测试1/3,InputProduct,calcInventoryCostRatio,815,1979
supplychain-planner,性能测试1/3,PeriodTask,calcIsViceUnitFreeCapacityUnFillLotSize,2749,7912
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcHasBatchConstraint,3484,5952
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcCurrencyInPeriod,24335,41664
supplychain-planner,性能测试1/3,PeriodTask,calcFeedbackQuantity,5028,15824
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcResourceReason,23825,49576
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcAllProductRouting,44197,17856
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcStart,524,1
